Encounter_Id,Name,Description,Choice1Text,Choice1Result,Choice1RewardEnergy,Choice1RewardFood,Choice1RewardFuel,Choice1RewardWorkforce,Choice1Faction,Choice1FactionSupport,Choice2Text,Choice2Result,Choice2RewardEnergy,Choice2RewardFood,Choice2RewardFuel,Choice2RewardWorkforce,Choice2Faction,Choice2FactionSupport
1,표류자 합류 1,우주를 떠돌던 표류자들이 합류를 요청합니다.,수락한다.,표류자들은 기뻐하며 그들의 자원도 함께 제공했습니다.,0,5,5,20,,0,거절한다.,표류자들은 실망한채 돌아갑니다. 그들의 운명은 이제 알 수 없습니다.,0,0,0,0,,0
2,표류자 합류 2,우주를 떠돌던 표류자들이 합류를 요청합니다.,수락한다.,표류자들은 기뻐하며 그들의 자원도 함께 제공했습니다.,5,5,0,20,,0,거절한다.,표류자들은 실망한채 돌아갑니다. 그들의 운명은 이제 알 수 없습니다.,0,0,0,0,,0
3,에너지 획득,정찰대가 어딘가에서 발견한 에너지를 보내왔습니다.,수락한다.,소량의 에너지를 획득했습니다.,20,0,0,0,,0,거절한다.,정찰대는 에너지를 폐기했습니다.,0,0,0,0,,0
4,노동력 획득,정찰대가 구조한 표류자들이 도착했습니다.,받아들인다.,표류자들은 기뻐하며 충성을 맹세했습니다.,0,0,0,20,,0,내보낸다.,표류자들은 실망한채 돌아갑니다. 그들의 운명은 이제 알 수 없습니다.,0,0,0,0,,0
5,식량 획득,정찰대가 어딘가에서 발견한 식량을 보내왔습니다.,수락한다.,소량의 식량을 획득했습니다.,0,20,0,0,,0,거절한다.,정찰대는 식량을 폐기했습니다.,0,0,0,0,,0
6,연료 획득,정찰대가 어딘가에서 발견한 연료를 보내왔습니다.,수락한다.,소량의 연료를 획득했습니다.,0,0,20,0,,0,거절한다.,정찰대는 연료를 폐기했습니다.,0,0,0,0,,0
7,자원 획득 1,우주선의 깊숙한 창고에서 자원들을 발견했습니다.,가져간다.,다양한 자원들을 획득했습니다.,5,5,5,5,,0,거절한다.,정찰대는 자원들을 폐기했습니다.,0,0,0,0,,0
8,자원 획득 2,정찰대가 잊혀진 행성에서 발견한 자원들을 보내왔습니다.,수락한다.,다양한 자원들을 획득했습니다.,10,10,10,10,,0,거절한다.,정찰대는 자원들을 폐기했습니다.,0,0,0,0,,0
9,우주해적의 습격,중무장한 우주해적이 습격합니다. 그들은 자원을 요구합니다.,맞서싸운다.,"당신은 승리했지만 우주해적은 도망쳤습니다., 그들이 남기고간 작은 물자만 건질 수 있었습니다.",0,0,0,-15,Red,0.2,협상한다.,당신은 우주해적과의 협상했습니다. 적은 물자로 많은 일꾼들을 지켰습니다.,-5,-5,-5,0,Green,0.2
10,표류자 약탈,중무장한 표류자들이 함선을 약탈하러 합니다.,강력히 통제한다.,당신은 강력한 규율로 그들을 통제해 일꾼으로 만들었습니다.,0,0,0,10,Red,0,협상한다.,당신은 우주해적과의 협상했습니다. 적은 물자로 많은 일꾼들을 지켰습니다.,-5,-5,-5,0,Green,0.2
11,고장난 드론,고장난 드론을 발견했습니다. 어떻게 할까요?,드론을 수리한다,드론을 수리하여 유용한 자원을 얻었습니다.,5,0,0,5,Red,0.1,드론을 파괴한다,드론을 파괴하고 부품을 회수했습니다.,0,0,10,0,Red,0.05
12,외계 신호 탐지,외계 신호가 포착되었습니다. 조사할까요?,조사한다,신호의 원인을 밝혀내고 보상을 얻었습니다.,0,10,0,0,Red,0.1,무시한다,신호를 무시하고 지나갑니다.,0,0,0,0,,0
13,유물 발견,버려진 우주 정거장에서 이상한 유물을 발견했습니다.,유물을 가져간다,유물에서 신비한 에너지를 추출했습니다.,10,0,0,0,Red,0.2,유물을 남겨둔다,유물을 그냥 두고 지나갑니다.,0,0,0,0,,0
14,정거장 구출 작전,위기에 처한 우주 정거장이 구조 요청을 보냈습니다.,구조한다,정거장을 무사히 구출하고 자원을 획득했습니다.,0,5,0,10,Black,0.15,무시한다,구조 요청을 무시하고 지나갔습니다.,0,0,0,0,,0
15,폭발 직전의 반응로,반응로가 폭발 직전입니다. 대응할 방법을 찾으세요.,냉각 시스템을 가동한다,냉각 시스템이 작동하여 반응로를 안정화시켰습니다.,20,0,0,0,Black,0.1,대피한다,모든 인원이 대피하였으나 자원 손실이 발생했습니다.,-10,0,0,0,Black,0.05
16,우주 해적의 공격,우주 해적이 자원을 요구합니다.,맞서 싸운다,해적을 물리치고 보상을 획득했습니다.,0,0,20,0,Black,0.2,자원을 준다,해적에게 자원을 주고 무사히 지나갑니다.,0,0,-15,0,,0
17,표류자 구조,표류자들이 구조 요청을 보냈습니다.,구조한다,표류자들을 구출하고 보상을 받았습니다.,0,10,0,5,Green,0.1,무시한다,표류자들을 무시하고 지나갔습니다.,0,0,0,0,,0
18,전력 시스템 고장,전력 시스템이 고장났습니다. 어떻게 할까요?,수리한다,전력 시스템을 수리하고 자원을 회수했습니다.,15,0,0,0,Black,0.2,대체 에너지를 사용한다,대체 에너지를 사용하여 문제를 해결했습니다.,0,0,0,0,Green,0.1
19,외계 상인과의 거래,외계 상인이 희귀한 물건을 제안합니다.,거래를 진행한다,거래가 성공적으로 완료되었습니다.,0,5,0,5,Green,0.1,거래를 거절한다,거래를 거절하고 지나갑니다.,0,0,0,0,,0
20,무인 탐사선의 발견,무인 탐사선이 귀환하지 않았습니다. 탐사할까요?,탐사한다,탐사선의 잔해에서 자원을 회수했습니다.,0,0,10,5,Green,0.1,무시한다,탐사선을 무시하고 지나갔습니다.,0,0,0,0,,0
21,기밀 문서 발견,버려진 우주선에서 기밀 문서를 발견했습니다.,문서를 해독한다,문서를 해독하여 중요한 정보를 얻었습니다.,0,0,0,0,Green,0.2,문서를 파기한다,기밀을 유지하기 위해 문서를 파기했습니다.,0,0,0,0,Red,0.1
22,광산 붕괴,광산에서 붕괴 사고가 발생했습니다.,구조 작업을 시작한다,광부들을 구출하고 보상을 받았습니다.,0,0,0,20,Black,0.2,구조를 포기한다,자원을 잃었지만 안전을 확보했습니다.,0,0,0,-5,,0
23,연료 누출,연료 저장고에서 누출이 발생했습니다.,누출을 차단한다,누출을 차단하여 연료를 보존했습니다.,0,0,15,0,Green,0.1,연료를 버린다,연료 손실을 감수하고 안전을 유지했습니다.,0,0,-10,0,,0
24,방사능 구역 탐사,방사능이 심한 지역을 탐사할 기회가 있습니다.,탐사한다,방사능 보호복을 착용하고 탐사에 성공했습니다.,0,10,0,5,Yellow,0.15,포기한다,탐사를 포기하고 안전을 선택했습니다.,0,0,0,0,,0
25,기술 장비 업그레이드,새로운 기술 장비를 업그레이드할 기회가 있습니다.,업그레이드한다,기술 업그레이드로 작업 효율이 향상되었습니다.,0,0,0,10,Yellow,0.2,업그레이드를 취소한다,업그레이드를 취소하고 기존 장비를 유지했습니다.,0,0,0,0,,0
26,보급품 약탈,외계 생명체가 보급품을 약탈했습니다.,생명체와 싸운다,보급품을 되찾고 자원을 획득했습니다.,5,5,0,0,Yellow,0.1,협상한다,생명체와 협상하여 보급품을 일부 돌려받았습니다.,0,5,0,0,Yellow,0.05
27,연구소 화재,연구소에서 화재가 발생했습니다.,화재를 진압한다,화재를 진압하고 연구소를 복구했습니다.,0,0,0,5,Yellow,0.2,대피한다,화재를 피해 대피에 성공했습니다.,0,0,0,0,Green,0.1
28,생명 유지 장치 고장,생명 유지 장치가 고장났습니다. 어떻게 할까요?,긴급 수리를 한다,수리를 통해 생명 유지 장치가 정상 작동합니다.,10,0,0,0,Yellow,0.15,대체 장비를 사용한다,대체 장비로 문제를 해결했습니다.,0,0,0,0,,0
